person##field##is
11##14.1.2.10.3.##1
16##14.1.2.##1
16##14.1.2.10.3.##1
55##14.1.2.##1
55##8.1.7.2.##1
65##4.1.3.5.##1
67##14.1.1.6.6.##1
75##14.1.1.1.20.##1
78##14.1.2.9.##1
78##14.1.2.##1
82##5.1.1.14.##1
85##14.1.2.##1
104##2.1.1.14.8.3.5.##1
104##4.1.4.17.40.##1
114##14.1.1.2.1.##1
115##4.1.3.5.##1
123##4.1.4.17.32.##1
131##8.1.4.1.##1
133##14.1.3.2.5.##1
136##4.1.4.17.40.##1
140##4.1.4.9.##1
158##14.1.2.##1
182##14.1.2.9.##1
182##14.1.2.##1
188##4.1.4.17.40.##1
188##4.1.4.9.##1
206##14.1.3.3.11.##1
214##8.1.4.5.##1
246##4.1.4.17.40.##1
259##14.1.2.##1
261##14.1.2.3.4.##1
264##2.1.1.14.10.14.##1
276##14.1.1.2.6.##1
278##14.1.2.9.##1
291##2.1.1.5.1.##1
307##4.1.4.17.41.##1
307##14.1.2.13.4.##1
346##10.1.4.1.##1
360##14.1.4.3.6.##1
369##14.1.2.5.##1
369##14.1.2.##1
373##14.1.1.4.10.##1
385##14.1.4.##1
391##14.1.1.2.6.##1
397##14.1.3.3.11.##1
399##14.1.4.##1
415##14.1.1.5.14.##1
420##14.1.4.3.6.##1
428##4.1.4.17.40.##1
432##14.1.1.4.4.##1
442##14.1.2.9.##1
456##8.1.6.2.##1
463##4.1.4.9.##1
463##4.1.4.17.40.##1
480##7.1.4.##1
481##14.1.2.##1
481##14.1.1.##1
492##14.1.2.13.2.##1
492##4.1.4.1.5.##1
495##14.1.2.##1
495##14.1.2.9.##1
498##4.1.4.17.40.##1
504##14.1.1.5.15.##1
505##14.1.4.##1
515##6.##1
521##14.1.4.3.6.##1
532##6.1.5.3.##1
532##8.1.4.1.##1
534##14.1.4.5.4.##1
536##14.1.2.9.##1
543##14.1.1.4.4.##1
566##14.1.2.##1
566##14.1.2.9.##1
573##14.1.2.9.##1
582##4.1.4.9.##1
585##2.1.1.5.1.##1
588##14.1.4.3.6.##1
596##14.1.2.8.19.##1
605##14.1.4.1.8.##1
605##14.1.2.10.8.##1
618##14.1.3.5.4.##1
637##14.1.4.3.6.##1
638##6.1.5.3.##1
657##14.1.1.4.5.##1
657##14.1.1.6.8.##1
664##4.1.4.17.40.##1
669##12.1.11.11.##1
684##6.1.5.4.##1
694##14.1.2.9.##1
694##14.1.2.##1
701##14.1.2.9.##1
701##14.1.2.##1
706##14.1.4.6.7.##1
706##14.1.4.6.##1
719##14.1.2.3.4.##1
741##4.1.3.26.##1
774##14.1.4.2.1.##1
786##14.1.1.2.1.##1
786##14.1.1.3.2.##1
786##14.1.1.1.17.##1
788##4.1.4.17.42.##1
792##14.1.4.2.1.##1
809##14.1.1.4.11.##1
810##14.1.2.##1
810##14.1.2.10.3.##1
812##14.1.4.##1
815##14.1.2.10.3.##1
817##14.1.1.1.2.##1
822##14.1.2.3.4.##1
824##12.1.5.2.##1
833##14.1.1.1.2.##1
846##14.1.1.5.14.##1
853##14.1.3.##1
853##11.##1
869##14.1.1.6.6.##1
876##12.1.5.2.##1
880##14.1.1.5.14.##1
892##4.1.4.17.42.##1
892##4.1.4.17.11.##1
903##14.1.2.5.##1
910##4.1.4.9.##1
910##4.1.4.17.39.##1
910##4.1.4.17.40.##1
911##4.1.4.17.42.##1
925##4.1.3.5.##1
930##4.1.3.5.##1
938##14.1.4.3.5.##1
951##9.##1
958##14.1.2.8.5.##1
973##5.1.1.3.##1
983##14.1.2.##1
983##14.1.2.9.##1
983##14.1.4.1.7.##1
994##14.1.2.3.4.##1
997##2.1.4.10.##1
1010##8.1.4.1.##1
1015##14.1.1.2.7.##1
1028##14.1.2.9.##1
1030##4.1.4.17.45.##1
1032##14.1.2.9.##1
1034##14.1.4.2.6.##1
1039##14.1.1.4.10.##1
1049##4.1.4.17.40.##1
1067##14.1.4.2.6.##1
1068##14.1.2.##1
1068##14.1.2.9.##1
1072##14.1.4.3.6.##1
1076##14.1.2.9.##1
1077##14.1.1.4.2.##1
1079##14.1.1.2.6.##1
1079##4.1.3.26.##1
1081##4.1.4.17.40.##1
1084##14.1.1.4.10.##1
1094##12.1.5.2.##1
1096##14.1.3.5.4.##1
1105##14.1.2.8.19.##1
1109##14.1.3.3.11.##1
1109##8.1.4.1.##1
1117##14.1.3.5.4.##1
1118##14.1.4.3.6.##1
1123##14.1.1.2.6.##1
1128##14.1.1.5.14.##1
1142##14.1.3.3.11.##1
1157##14.1.2.5.##1
1178##14.1.4.1.7.##1
1178##14.1.4.3.9.##1
1179##7.##1
1182##14.1.3.5.4.##1
1189##14.1.4.##1
1189##14.1.2.3.4.##1
1190##14.1.4.3.6.##1
1192##14.1.2.9.##1
1195##4.1.3.5.##1
1195##14.1.1.2.6.##1
1195##14.1.1.2.7.##1
1196##14.1.4.3.6.##1
1199##14.1.2.9.##1
1203##14.1.2.##1
1203##14.1.2.9.##1
1209##14.1.3.3.6.##1
1221##14.1.2.9.##1
1221##14.1.2.##1
1225##14.1.1.5.10.##1
1225##8.1.4.1.##1
1236##14.1.2.5.##1
1240##14.1.1.5.14.##1
1253##14.1.2.##1
1264##14.1.4.3.6.##1
1269##14.1.2.##1
1279##14.1.4.1.7.##1
1294##14.1.2.##1
1316##14.1.2.9.##1
1316##14.1.2.10.3.##1
1328##4.1.4.17.39.##1
1328##14.1.2.13.##1
1328##14.1.4.##1
1358##14.1.4.3.6.##1
1362##14.1.3.3.11.##1
1378##14.1.4.3.11.##1
1378##14.1.4.2.6.##1
1380##14.1.2.##1
1380##14.1.4.3.6.##1
1383##14.1.3.3.11.##1
1398##12.1.11.11.##1
1406##11.##1
1416##14.1.4.2.6.##1
1416##14.1.4.3.11.##1
1417##14.1.6.3.2.##1
1417##2.1.1.14.8.1.6.##1
1428##14.1.4.3.6.##1
1428##14.1.4.1.7.##1
1437##14.1.2.##1
1437##14.1.4.1.7.##1
1437##14.1.4.3.6.##1
1449##14.1.2.3.4.##1
1456##14.1.4.3.6.##1
1465##14.1.2.8.15.##1
1471##14.1.1.4.10.##1
1471##4.1.3.5.##1
1472##4.1.3.5.##1
1476##14.1.2.3.4.##1
1477##14.1.4.##1
1477##14.1.1.5.14.##1
1485##2.1.1.15.14.##1
1488##14.1.2.10.3.##1
1515##14.1.2.##1
1515##14.1.2.9.##1
1536##6.##1
1549##5.1.3.8.##1
1551##14.1.4.2.6.##1
1551##14.1.2.9.##1
1554##14.1.4.3.6.##1
1557##14.1.2.9.##1
1558##14.1.4.3.9.##1
1568##2.1.1.14.10.16.##1
1568##6.1.7.4.##1
1571##14.1.1.4.5.##1
1588##14.1.2.5.##1
1588##14.1.1.1.14.##1
1604##14.1.2.9.##1
1604##14.1.2.##1
1635##14.1.1.2.6.##1
1640##14.1.4.3.9.##1
1642##4.1.4.17.14.##1
1644##14.1.2.10.3.##1
1645##14.1.4.3.9.##1
1645##14.1.2.##1
1646##14.1.4.5.4.##1
1647##14.1.4.3.9.##1
1660##14.1.2.9.##1
1662##14.1.4.1.7.##1
1664##10.1.4.6.1.##1
1677##14.1.3.3.11.##1
1684##14.1.2.##1
1687##14.1.4.2.6.##1
1695##14.1.1.6.6.##1
1706##14.1.2.9.##1
1706##14.1.2.##1
1719##14.1.2.10.8.##1
1722##4.1.4.17.40.##1
1725##14.1.4.4.4.##1
1730##14.1.1.5.5.##1
1731##14.1.4.##1
1732##14.1.2.9.##1
1740##14.1.2.13.##1
1740##14.1.2.13.6.##1
1749##14.1.1.2.6.##1
1750##14.1.4.3.6.##1
1752##14.1.1.5.8.##1
1753##14.1.4.##1
1769##14.1.4.1.7.##1
1770##4.1.4.9.##1
1770##4.1.4.17.40.##1
1777##12.1.7.##1
1780##4.1.4.9.##1
1781##14.1.1.1.4.##1
1794##14.1.3.3.11.##1
1796##10.1.4.2.##1
1796##14.1.1.4.10.##1
1801##14.1.1.1.21.##1
1807##10.1.4.2.##1
1815##4.1.4.17.35.##1
1818##14.1.2.10.3.##1
1831##14.1.4.3.6.##1
1837##14.1.3.6.4.##1
1865##14.1.4.2.6.##1
1865##14.1.4.3.11.##1
1869##14.1.4.##1
1869##14.1.2.3.4.##1
1877##14.1.4.2.1.##1
1884##14.1.4.2.1.##1
1888##4.1.4.17.11.##1
1890##14.1.2.3.4.##1
1897##14.1.1.3.4.##1
1900##14.1.2.5.##1
1900##4.1.4.17.45.##1
1906##8.1.4.1.##1
1909##14.1.3.1.##1
1915##14.1.1.5.14.##1
1929##14.1.1.2.6.##1
1930##10.1.3.2.##1
1948##10.1.1.3.##1
1949##6.1.5.3.##1
1955##14.1.2.9.##1
1963##14.1.2.9.##1
1970##14.1.2.9.2.##1
1974##14.1.2.##1
1989##14.1.2.9.2.##1
1994##14.1.4.2.6.##1
1994##14.1.4.3.11.##1
1995##4.1.4.9.##1
1995##4.1.4.17.40.##1
2000##14.1.2.7.4.##1
2005##12.1.9.1.##1
2013##10.1.4.2.##1
2013##14.1.1.4.9.##1
2034##2.1.1.14.10.14.##1
2035##14.1.1.4.9.##1
2035##14.1.1.4.10.##1
2045##14.1.4.1.7.##1
2071##14.1.4.3.11.##1
2071##14.1.4.2.6.##1
2075##14.1.1.6.6.##1
2076##4.1.4.9.##1
2076##4.1.4.17.40.##1
2089##14.1.3.3.6.##1
2090##6.1.5.3.##1
2090##14.1.3.3.11.##1
2093##14.1.1.3.4.##1
2098##4.1.4.9.##1
2123##14.1.2.3.4.##1
2142##4.1.4.9.##1
2142##4.1.4.17.40.##1
2148##14.1.2.9.##1
2156##14.1.2.9.2.##1
2162##11.##1
2176##4.1.4.17.45.##1
2187##9.##1
2201##14.1.2.10.18.##1
2201##14.1.2.##1
2206##4.1.4.17.39.##1
2221##14.1.2.8.16.##1
2221##4.1.4.9.##1
2236##14.1.4.##1
2259##14.1.1.4.10.##1
2259##14.1.3.3.6.##1
2259##14.1.1.5.15.##1
2274##4.1.4.17.40.##1
2280##14.1.2.3.4.##1
2286##10.1.4.2.##1
2291##14.1.4.1.7.##1
2302##14.1.2.10.3.##1
2307##14.1.1.5.8.##1
2310##14.1.4.3.9.##1
2318##14.1.1.6.8.##1
2328##14.1.1.5.14.##1
2332##14.1.1.1.22.##1
2332##14.1.1.1.16.##1
2343##14.1.2.7.4.##1
2344##4.1.3.5.##1
2345##14.1.4.2.6.##1
2351##14.1.2.9.##1
2352##14.1.4.3.11.##1
2352##14.1.4.2.6.##1
2358##14.1.2.10.3.##1
2371##14.1.4.3.9.##1
2371##14.1.4.1.7.##1
2373##14.1.4.3.6.##1
2382##14.1.2.##1
2384##14.1.2.9.##1
2410##14.1.4.2.6.##1
2416##14.1.3.6.2.##1
2416##5.1.1.13.##1
2417##8.1.7.2.##1
2418##14.1.2.3.4.##1
2434##14.1.2.3.4.##1
2438##14.1.4.1.7.##1
2443##14.1.4.3.9.##1
2449##14.1.4.3.9.##1
2449##14.1.3.3.6.##1
2460##12.1.2.##1
2464##14.1.4.3.6.##1
2484##14.1.5.7.5.##1
2485##4.1.4.9.##1
2485##4.1.4.17.40.##1
2493##14.1.1.4.10.##1
2500##14.1.4.##1
2500##14.1.1.5.14.##1
2537##14.1.1.3.4.##1
2555##14.1.3.2.5.##1
2559##14.1.3.3.##1
2562##14.1.1.4.10.##1
2564##14.1.2.10.3.##1
2565##14.1.2.2.4.##1
2587##14.1.2.9.##1
2590##14.1.3.1.10.##1
2596##4.1.4.17.45.##1
2596##14.1.3.3.11.##1
2618##14.1.3.3.11.##1
2643##4.1.4.9.##1
2643##14.1.1.5.1.##1
2643##4.1.4.17.11.##1
2653##14.1.2.3.4.##1
2657##4.1.4.9.##1
2657##4.1.4.17.40.##1
2661##4.1.4.17.40.##1
2669##14.1.4.3.6.##1
2675##14.1.2.2.13.##1
2693##8.1.6.3.##1
2697##5.1.3.8.##1
2697##6.1.7.8.##1
2721##14.1.1.4.10.##1
2734##14.1.4.3.6.##1
2737##14.1.2.9.##1
2757##10.1.4.2.##1
2761##14.1.1.5.9.##1
2761##10.1.4.2.##1
2761##4.1.3.3.##1
2763##4.1.1.6.##1
2763##6.1.7.9.##1
2770##14.1.2.##1
2770##14.1.2.9.##1
2778##14.1.4.3.6.##1
2781##14.1.3.3.11.##1
2783##14.1.2.9.##1
2783##14.1.4.3.6.##1
2788##12.1.5.2.##1
2793##14.1.1.4.10.##1
2793##4.1.3.5.##1
2817##14.1.3.3.6.##1
