organ##field##is
24841##14.1.2.10.3.##1
8424##4.1.3.5.##1
18679##4.1.3.5.##1
18679##4.1.3.5.##1
4111##14.1.3.2.5.##1
9171##14.1.2.##1
5852##14.1.2.##1
16345##2.1.1.14.10.14.##1
2225##14.1.1.2.6.##1
13572##2.1.1.5.1.##1
5073##7.1.4.##1
3156##7.1.4.##1
3155##14.1.1.##1
15018##14.1.1.##1
2225##14.1.4.##1
4111##8.1.4.1.##1
17336##8.1.4.1.##1
11797##2.1.1.5.1.##1
22509##14.1.2.10.8.##1
4111##6.1.5.3.##1
4113##6.1.5.3.##1
24841##14.1.2.10.3.##1
913##12.1.5.2.##1
4702##11.##1
10993##14.1.1.5.14.##1
23366##4.1.4.17.42.##1
6056##4.1.4.17.42.##1
18679##4.1.3.5.##1
18679##4.1.3.5.##1
10256##9.##1
24841##9.##1
22806##9.##1
8424##2.1.4.10.##1
17086##14.1.2.9.##1
13990##12.1.5.2.##1
18623##14.1.1.5.14.##1
1433##14.1.1.5.14.##1
23799##14.1.3.5.4.##1
24841##14.1.2.3.4.##1
18679##14.1.1.2.7.##1
24841##14.1.2.9.##1
23203##14.1.2.##1
10256##14.1.4.3.6.##1
8780##14.1.3.3.11.##1
18679##4.1.3.5.##1
18679##4.1.3.5.##1
10727##2.1.1.15.14.##1
10256##14.1.2.9.##1
6673##6.1.7.4.##1
15209##14.1.4.1.7.##1
7848##14.1.4.2.6.##1
23589##14.1.1.6.6.##1
18277##14.1.2.9.##1
14998##14.1.1.2.6.##1
19515##12.1.7.##1
10256##14.1.2.10.3.##1
24841##14.1.2.10.3.##1
14998##14.1.3.1.##1
19047##14.1.3.1.##1
10256##14.1.2.9.##1
17338##12.1.9.1.##1
9171##2.1.1.14.10.14.##1
16345##2.1.1.14.10.14.##1
22287##14.1.1.4.10.##1
22806##9.##1
7375##14.1.1.6.8.##1
18679##4.1.3.5.##1
22852##14.1.4.2.6.##1
7848##14.1.4.2.6.##1
1884##14.1.2.3.4.##1
10596##14.1.3.3.6.##1
29335##12.1.2.##1
8780##14.1.3.3.11.##1
10256##14.1.2.9.##1
24841##14.1.2.9.##1
10256##14.1.2.9.##1
24930##12.1.5.2.##1
18679##4.1.3.5.##1
10256##14.1.2.9.##1
18679##14.1.2.##1
24841##14.1.2.##1
18679##4.1.3.5.##1
8838##4.1.3.5.##1
18679##4.1.3.5.##1
6056##14.1.3.5.4.##1
3156##7.1.4.##1
9171##14.1.2.9.##1
